year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
1997,Alabama,"4,319,000","24,379",426,"1,396",NA,"6,931","15,626",Alabama,"4,319,000","186,809","43,786","127,616","15,407",Alabama,"4,319,000",564.5,9.9,32.3,NA,160.5,361.8,Alabama,"4,319,000","4,325.3","1,013.8","2,954.8",356.7
1997,Alaska,"609,000","4,270",54,403,NA,648,"3,165",Alaska,"609,000","27,840","4,276","20,780","2,784",Alaska,"609,000",701.1,8.9,66.2,NA,106.4,519.7,Alaska,"609,000","4,571.4",702.1,"3,412.2",457.1
1997,Arizona,"4,555,000","28,411",375,"1,492",NA,"7,547","18,997",Arizona,"4,555,000","299,323","60,077","195,045","44,201",Arizona,"4,555,000",623.7,8.2,32.8,NA,165.7,417.1,Arizona,"4,555,000","6,571.3","1,318.9","4,282.0",970.4
1997,Arkansas,"2,523,000","13,293",250,"1,098",NA,"2,814","9,131",Arkansas,"2,523,000","105,759","25,568","72,253","7,938",Arkansas,"2,523,000",526.9,9.9,43.5,NA,111.5,361.9,Arkansas,"2,523,000","4,191.8","1,013.4","2,863.8",314.6
1997,California,"32,268,000","257,582","2,579","10,189",NA,"81,468","163,346",California,"32,268,000","1,312,367","299,240","784,405","228,722",California,"32,268,000",798.3,8,31.6,NA,252.5,506.2,California,"32,268,000","4,067.1",927.4,"2,430.9",708.8
1997,Colorado,"3,893,000","14,139",157,"1,677",NA,"3,242","9,063",Colorado,"3,893,000","166,902","30,994","119,801","16,107",Colorado,"3,893,000",363.2,4,43.1,NA,83.3,232.8,Colorado,"3,893,000","4,287.2",796.1,"3,077.3",413.7
1997,Connecticut,"3,270,000","12,781",124,740,NA,"4,999","6,918",Connecticut,"3,270,000","117,505","24,143","78,821","14,541",Connecticut,"3,270,000",390.9,3.8,22.6,NA,152.9,211.6,Connecticut,"3,270,000","3,593.4",738.3,"2,410.4",444.7
1997,Delaware,"732,000","5,753",22,428,NA,"1,783","3,520",Delaware,"732,000","36,578","6,421","25,904","4,253",Delaware,"732,000",785.9,3,58.5,NA,243.6,480.9,Delaware,"732,000","4,997.0",877.2,"3,538.8",581
1997,District of Columbia,"529,000","10,708",301,218,NA,"4,501","5,688",District of Columbia,"529,000","41,341","6,963","26,809","7,569",District of Columbia,"529,000","2,024.2",56.9,41.2,NA,850.9,"1,075.2",District of Columbia,"529,000","7,814.9","1,316.3","5,067.9","1,430.8"
1997,Florida,"14,654,000","149,996","1,012","7,599",NA,"40,459","100,926",Florida,"14,654,000","915,613","213,926","594,492","107,195",Florida,"14,654,000","1,023.6",6.9,51.9,NA,276.1,688.7,Florida,"14,654,000","6,248.2","1,459.8","4,056.9",731.5
1997,Georgia,"7,486,000","45,408",563,"2,328",NA,"15,473","27,044",Georgia,"7,486,000","388,155","81,320","262,263","44,572",Georgia,"7,486,000",606.6,7.5,31.1,NA,206.7,361.3,Georgia,"7,486,000","5,185.1","1,086.3","3,503.4",595.4
1997,Hawaii,"1,187,000","3,299",47,371,NA,"1,403","1,478",Hawaii,"1,187,000","68,193","12,741","48,984","6,468",Hawaii,"1,187,000",277.9,4,31.3,NA,118.2,124.5,Hawaii,"1,187,000","5,745.0","1,073.4","4,126.7",544.9
1997,Idaho,"1,210,000","3,107",39,350,NA,237,"2,481",Idaho,"1,210,000","44,388","9,175","32,784","2,429",Idaho,"1,210,000",256.8,3.2,28.9,NA,19.6,205,Idaho,"1,210,000","3,668.4",758.3,"2,709.4",200.7
1997,Illinois,"11,896,000","102,476","1,096","4,415",NA,"33,123","63,842",Illinois,"11,896,000","509,113","103,550","350,140","55,423",Illinois,"11,896,000",861.4,9.2,37.1,NA,278.4,536.7,Illinois,"11,896,000","4,279.7",870.5,"2,943.3",465.9
1997,Indiana,"5,864,000","30,179",430,"1,928",NA,"7,763","20,058",Indiana,"5,864,000","231,723","48,182","158,442","25,099",Indiana,"5,864,000",514.6,7.3,32.9,NA,132.4,342.1,Indiana,"5,864,000","3,951.6",821.7,"2,701.9",428
1997,Iowa,"2,852,000","8,841",52,579,NA,"1,593","6,617",Iowa,"2,852,000","99,986","22,003","71,301","6,682",Iowa,"2,852,000",310,1.8,20.3,NA,55.9,232,Iowa,"2,852,000","3,505.8",771.5,"2,500.0",234.3
1997,Kansas,"2,595,000","11,151",150,"1,179",NA,"2,535","7,287",Kansas,"2,595,000","122,553","24,292","91,823","6,438",Kansas,"2,595,000",429.7,5.8,45.4,NA,97.7,280.8,Kansas,"2,595,000","4,722.7",936.1,"3,538.5",248.1
1997,Kentucky,"3,908,000","12,386",228,"1,304",NA,"3,546","7,308",Kentucky,"3,908,000","109,819","26,638","73,487","9,694",Kentucky,"3,908,000",316.9,5.8,33.4,NA,90.7,187,Kentucky,"3,908,000","2,810.1",681.6,"1,880.4",248.1
1997,Louisiana,"4,352,000","37,248",682,"1,799",NA,"10,407","24,360",Louisiana,"4,352,000","243,423","53,935","163,114","26,374",Louisiana,"4,352,000",855.9,15.7,41.3,NA,239.1,559.7,Louisiana,"4,352,000","5,593.4","1,239.3","3,748.0",606
1997,Maine,"1,242,000","1,500",25,254,NA,257,964,Maine,"1,242,000","37,396","8,241","27,513","1,642",Maine,"1,242,000",120.8,2,20.5,NA,20.7,77.6,Maine,"1,242,000","3,011.0",663.5,"2,215.2",132.2
1997,Maryland,"5,094,000","43,127",502,"1,814",NA,"17,157","23,654",Maryland,"5,094,000","244,842","47,918","166,256","30,668",Maryland,"5,094,000",846.6,9.9,35.6,NA,336.8,464.4,Maryland,"5,094,000","4,806.5",940.7,"3,263.8",602
1997,Massachusetts,"6,118,000","39,411",119,"1,647",NA,"6,676","30,969",Massachusetts,"6,118,000","185,437","40,491","115,494","29,452",Massachusetts,"6,118,000",644.2,1.9,26.9,NA,109.1,506.2,Massachusetts,"6,118,000","3,031.0",661.8,"1,887.8",481.4
1997,Michigan,"9,774,000","57,663",759,"5,070",NA,"14,934","36,900",Michigan,"9,774,000","422,916","80,726","276,863","65,327",Michigan,"9,774,000",590,7.8,51.9,NA,152.8,377.5,Michigan,"9,774,000","4,326.9",825.9,"2,832.6",668.4
1997,Minnesota,"4,686,000","15,827",129,"2,446",NA,"5,373","7,879",Minnesota,"4,686,000","191,006","35,265","137,872","17,869",Minnesota,"4,686,000",337.8,2.8,52.2,NA,114.7,168.1,Minnesota,"4,686,000","4,076.1",752.6,"2,942.2",381.3
1997,Mississippi,"2,731,000","12,808",358,"1,065",NA,"3,741","7,644",Mississippi,"2,731,000","113,644","32,429","71,887","9,328",Mississippi,"2,731,000",469,13.1,39,NA,137,279.9,Mississippi,"2,731,000","4,161.3","1,187.4","2,632.3",341.6
1997,Missouri,"5,402,000","31,192",426,"1,525",NA,"8,430","20,811",Missouri,"5,402,000","228,889","46,900","155,472","26,517",Missouri,"5,402,000",577.4,7.9,28.2,NA,156.1,385.2,Missouri,"5,402,000","4,237.1",868.2,"2,878.0",490.9
1997,Montana,"879,000","1,161",42,171,NA,179,769,Montana,"879,000","37,592","5,002","30,411","2,179",Montana,"879,000",132.1,4.8,19.5,NA,20.4,87.5,Montana,"879,000","4,276.7",569.1,"3,459.7",247.9
1997,Nebraska,"1,657,000","7,265",50,406,NA,"1,097","5,712",Nebraska,"1,657,000","63,717","9,813","48,363","5,541",Nebraska,"1,657,000",438.4,3,24.5,NA,66.2,344.7,Nebraska,"1,657,000","3,845.3",592.2,"2,918.7",334.4
1997,Nevada,"1,677,000","13,395",187,"1,005",NA,"5,071","7,132",Nevada,"1,677,000","88,307","21,975","53,112","13,220",Nevada,"1,677,000",798.7,11.2,59.9,NA,302.4,425.3,Nevada,"1,677,000","5,265.8","1,310.4","3,167.1",788.3
1997,New Hampshire,"1,173,000","1,328",16,395,NA,274,643,New Hampshire,"1,173,000","29,635","4,612","23,430","1,593",New Hampshire,"1,173,000",113.2,1.4,33.7,NA,23.4,54.8,New Hampshire,"1,173,000","2,526.4",393.2,"1,997.4",135.8
1997,New Jersey,"8,053,000","39,673",337,"1,729",NA,"16,957","20,650",New Jersey,"8,053,000","287,038","60,894","184,979","41,165",New Jersey,"8,053,000",492.6,4.2,21.5,NA,210.6,256.4,New Jersey,"8,053,000","3,564.4",756.2,"2,297.0",511.2
1997,New Mexico,"1,730,000","14,762",134,872,NA,"2,966","10,790",New Mexico,"1,730,000","104,721","25,126","67,188","12,407",New Mexico,"1,730,000",853.3,7.7,50.4,NA,171.4,623.7,New Mexico,"1,730,000","6,053.2","1,452.4","3,883.7",717.2
1997,New York,"18,137,000","124,890","1,093","4,075",NA,"56,094","63,628",New York,"18,137,000","584,438","118,306","386,435","79,697",New York,"18,137,000",688.6,6,22.5,NA,309.3,350.8,New York,"18,137,000","3,222.4",652.3,"2,130.6",439.4
1997,North Carolina,"7,425,000","45,071",614,"2,348",NA,"12,817","29,292",North Carolina,"7,425,000","362,672","100,002","238,228","24,442",North Carolina,"7,425,000",607,8.3,31.6,NA,172.6,394.5,North Carolina,"7,425,000","4,884.5","1,346.8","3,208.5",329.2
1997,North Dakota,"641,000",559,6,159,NA,41,353,North Dakota,"641,000","16,821","2,300","13,367","1,154",North Dakota,"641,000",87.2,0.9,24.8,NA,6.4,55.1,North Dakota,"641,000","2,624.2",358.8,"2,085.3",180
1997,Ohio,"11,186,000","48,706",523,"4,566",NA,"17,755","25,862",Ohio,"11,186,000","455,799","94,972","315,908","45,419",Ohio,"11,186,000",435.4,4.7,40.8,NA,158.7,231.2,Ohio,"11,186,000","4,074.7",844.6,"2,824.1",406
1997,Oklahoma,"3,317,000","18,560",229,"1,517",NA,"3,446","13,368",Oklahoma,"3,317,000","163,698","40,015","109,039","14,644",Oklahoma,"3,317,000",559.5,6.9,45.7,NA,103.9,403,Oklahoma,"3,317,000","4,935.1","1,206.4","3,287.3",441.5
1997,Oregon,"3,243,000","14,412",95,"1,306",NA,"3,811","9,200",Oregon,"3,243,000","188,916","33,507","136,129","19,280",Oregon,"3,243,000",444.4,2.9,40.3,NA,117.5,283.7,Oregon,"3,243,000","5,825.3","1,033.2","4,197.6",594.5
1997,Pennsylvania,"12,020,000","53,140",705,"3,289",NA,"18,788","30,358",Pennsylvania,"12,020,000","359,323","68,218","246,892","44,213",Pennsylvania,"12,020,000",442.1,5.9,27.4,NA,156.3,252.6,Pennsylvania,"12,020,000","2,989.4",567.5,"2,054.0",367.8
1997,Rhode Island,"987,000","3,292",25,363,NA,707,"2,197",Rhode Island,"987,000","32,777","7,083","21,499","4,195",Rhode Island,"987,000",333.5,2.5,36.8,NA,71.6,222.6,Rhode Island,"987,000","3,320.9",717.6,"2,178.2",425
1997,South Carolina,"3,760,000","37,235",314,"1,837",NA,"6,624","28,460",South Carolina,"3,760,000","193,402","46,322","131,325","15,755",South Carolina,"3,760,000",990.3,8.4,48.9,NA,176.2,756.9,South Carolina,"3,760,000","5,143.7","1,232.0","3,492.7",419
1997,South Dakota,"738,000","1,457",10,357,NA,172,918,South Dakota,"738,000","22,491","4,088","17,545",858,South Dakota,"738,000",197.4,1.4,48.4,NA,23.3,124.4,South Dakota,"738,000","3,047.6",553.9,"2,377.4",116.3
1997,Tennessee,"5,368,000","42,389",511,"3,056",NA,"11,487","27,335",Tennessee,"5,368,000","253,484","62,899","156,843","33,742",Tennessee,"5,368,000",789.7,9.5,56.9,NA,214,509.2,Tennessee,"5,368,000","4,722.1","1,171.7","2,921.8",628.6
1997,Texas,"19,439,000","117,126","1,327","8,011",NA,"30,522","77,266",Texas,"19,439,000","948,231","201,059","645,451","101,721",Texas,"19,439,000",602.5,6.8,41.2,NA,157,397.5,Texas,"19,439,000","4,878.0","1,034.3","3,320.4",523.3
1997,Utah,"2,059,000","6,878",50,977,NA,"1,408","4,443",Utah,"2,059,000","116,569","18,335","89,090","9,144",Utah,"2,059,000",334,2.4,47.5,NA,68.4,215.8,Utah,"2,059,000","5,661.4",890.5,"4,326.9",444.1
1997,Vermont,"589,000",705,9,156,NA,79,461,Vermont,"589,000","15,953","3,611","11,542",800,Vermont,"589,000",119.7,1.5,26.5,NA,13.4,78.3,Vermont,"589,000","2,708.5",613.1,"1,959.6",135.8
1997,Virginia,"6,734,000","23,249",488,"1,819",NA,"8,384","12,558",Virginia,"6,734,000","237,773","38,475","180,406","18,892",Virginia,"6,734,000",345.2,7.2,27,NA,124.5,186.5,Virginia,"6,734,000","3,530.9",571.4,"2,679.0",280.5
1997,Washington,"5,610,000","24,724",244,"2,885",NA,"6,734","14,864",Washington,"5,610,000","307,742","62,064","213,823","31,855",Washington,"5,610,000",440.7,4.3,51.4,NA,120,265,Washington,"5,610,000","5,485.6","1,106.3","3,811.5",567.8
1997,West Virginia,"1,816,000","3,971",75,355,NA,782,"2,759",West Virginia,"1,816,000","40,868","10,647","26,934","3,287",West Virginia,"1,816,000",218.7,4.1,19.5,NA,43.1,151.9,West Virginia,"1,816,000","2,250.4",586.3,"1,483.1",181
