year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2005,Alabama,"4,548,327","19,678",374,"1,564",NA,"6,447","11,293",Alabama,"4,548,327","177,393","43,473","120,780","13,140",Alabama,"4,548,327",433,8.2,34.4,NA,141.7,248.3,Alabama,"4,548,327","3,900.0",955.8,"2,656.0",289
2005,Alaska,"663,253","4,194",32,538,NA,537,"3,087",Alaska,"663,253","23,975","4,131","17,249","2,595",Alaska,"663,253",632,4.8,81.1,NA,81,465.4,Alaska,"663,253","3,615.0",622.8,"2,601.0",391
2005,Arizona,"5,953,007","30,478",445,"2,006",NA,"8,579","19,448",Arizona,"5,953,007","287,345","56,328","176,112","54,905",Arizona,"5,953,007",512,7.5,33.7,NA,144.1,326.7,Arizona,"5,953,007","4,827.0",946.2,"2,958.0",922
2005,Arkansas,"2,775,708","14,670",189,"1,202",NA,"2,532","10,747",Arkansas,"2,775,708","112,914","30,118","75,510","7,286",Arkansas,"2,775,708",528,6.8,43.3,NA,91.2,387.2,Arkansas,"2,775,708","4,068.0","1,085.1","2,720.0",262
2005,California,"36,154,147","190,178","2,503","9,392",NA,"63,622","114,661",California,"36,154,147","1,200,531","250,521","692,467","257,543",California,"36,154,147",526,6.9,26,NA,176,317.1,California,"36,154,147","3,321.0",692.9,"1,915.0",712
2005,Colorado,"4,663,295","18,498",173,"2,026",NA,"3,948","12,351",Colorado,"4,663,295","188,449","34,746","127,602","26,101",Colorado,"4,663,295",397,3.7,43.4,NA,84.7,264.9,Colorado,"4,663,295","4,041.0",745.1,"2,736.0",560
2005,Connecticut,"3,500,701","9,542",105,712,NA,"3,933","4,792",Connecticut,"3,500,701","90,270","15,245","64,416","10,609",Connecticut,"3,500,701",273,3,20.3,NA,112.3,136.9,Connecticut,"3,500,701","2,579.0",435.5,"1,840.0",303
2005,Delaware,"841,741","5,332",37,377,NA,"1,306","3,612",Delaware,"841,741","26,245","5,811","18,085","2,349",Delaware,"841,741",633,4.4,44.8,NA,155.2,429.1,Delaware,"841,741","3,118.0",690.4,"2,148.0",279
2005,District of Columbia,"582,049","8,032",195,166,NA,"3,700","3,971",District of Columbia,"582,049","26,133","3,577","14,836","7,720",District of Columbia,"582,049","1,380.0",33.5,28.5,NA,635.7,682.2,District of Columbia,"582,049","4,490.0",614.6,"2,549.0","1,326.0"
2005,Florida,"17,768,191","125,957",883,"6,592",NA,"30,141","88,341",Florida,"17,768,191","712,998","164,783","472,912","75,303",Florida,"17,768,191",709,5,37.1,NA,169.6,497.2,Florida,"17,768,191","4,013.0",927.4,"2,662.0",424
