year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2003,Alabama,"4,503,726","19,331",299,"1,656",NA,"6,038","11,338",Alabama,"4,503,726","182,241","43,245","124,039","14,957",Alabama,"4,503,726",429.2,6.6,36.8,NA,134.1,251.7,Alabama,"4,503,726","4,046.4",960.2,"2,754.1",332.1
2003,Alaska,"648,280","3,877",39,605,NA,446,"2,787",Alaska,"648,280","24,386","3,874","18,051","2,461",Alaska,"648,280",598,6,93.3,NA,68.8,429.9,Alaska,"648,280","3,761.6",597.6,"2,784.4",379.6
2003,Arizona,"5,579,222","28,638",441,"1,856",NA,"7,619","18,722",Arizona,"5,579,222","314,335","58,613","198,725","56,997",Arizona,"5,579,222",513.3,7.9,33.3,NA,136.6,335.6,Arizona,"5,579,222","5,634.0","1,050.6","3,561.9","1,021.6"
2003,Arkansas,"2,727,774","12,449",180,911,NA,"2,227","9,131",Arkansas,"2,727,774","99,084","25,016","68,061","6,007",Arkansas,"2,727,774",456.4,6.6,33.4,NA,81.6,334.7,Arkansas,"2,727,774","3,632.4",917.1,"2,495.1",220.2
2003,California,"35,462,712","205,551","2,407","9,994",NA,"63,770","129,380",California,"35,462,712","1,215,086","242,274","731,486","241,326",California,"35,462,712",579.6,6.8,28.2,NA,179.8,364.8,California,"35,462,712","3,426.4",683.2,"2,062.7",680.5
2003,Colorado,"4,547,633","15,757",185,"1,913",NA,"3,738","9,921",Colorado,"4,547,633","179,706","32,394","124,496","22,816",Colorado,"4,547,633",346.5,4.1,42.1,NA,82.2,218.2,Colorado,"4,547,633","3,951.6",712.3,"2,737.6",501.7
2003,Connecticut,"3,486,960","11,045",112,698,NA,"4,212","6,023",Connecticut,"3,486,960","92,981","16,043","65,568","11,370",Connecticut,"3,486,960",316.8,3.2,20,NA,120.8,172.7,Connecticut,"3,486,960","2,666.5",460.1,"1,880.4",326.1
2003,Delaware,"818,166","5,525",21,370,NA,"1,441","3,693",Delaware,"818,166","27,943","6,066","18,933","2,944",Delaware,"818,166",675.3,2.6,45.2,NA,176.1,451.4,Delaware,"818,166","3,415.3",741.4,"2,314.1",359.8
2003,District of Columbia,"557,620","9,061",249,274,NA,"3,941","4,597",District of Columbia,"557,620","32,696","4,671","18,119","9,906",District of Columbia,"557,620","1,624.9",44.7,49.1,NA,706.8,824.4,District of Columbia,"557,620","5,863.5",837.7,"3,249.3","1,776.5"
2003,Florida,"16,999,181","124,280",924,"6,727",NA,"31,523","85,106",Florida,"16,999,181","757,696","170,644","505,489","81,563",Florida,"16,999,181",731.1,5.4,39.6,NA,185.4,500.6,Florida,"16,999,181","4,457.3","1,003.8","2,973.6",479.8
2003,Georgia,"8,676,460","39,435",657,"2,234",NA,"14,043","22,501",Georgia,"8,676,460","369,589","79,001","247,196","43,392",Georgia,"8,676,460",454.5,7.6,25.7,NA,161.9,259.3,Georgia,"8,676,460","4,259.7",910.5,"2,849.0",500.1
2003,Hawaii,"1,248,755","3,400",22,367,NA,"1,168","1,843",Hawaii,"1,248,755","65,867","11,409","44,807","9,651",Hawaii,"1,248,755",272.3,1.8,29.4,NA,93.5,147.6,Hawaii,"1,248,755","5,274.6",913.6,"3,588.1",772.8
2003,Idaho,"1,367,034","3,362",26,535,NA,245,"2,556",Idaho,"1,367,034","40,042","7,837","29,559","2,646",Idaho,"1,367,034",245.9,1.9,39.1,NA,17.9,187,Idaho,"1,367,034","2,929.1",573.3,"2,162.3",193.6
2003,Illinois,"12,649,087","70,376",895,"4,189",NA,"23,786","41,506",Illinois,"12,649,087","415,885","78,345","295,907","41,633",Illinois,"12,649,087",556.4,7.1,33.1,NA,188,328.1,Illinois,"12,649,087","3,287.9",619.4,"2,339.4",329.1
2003,Indiana,"6,199,571","21,842",338,"1,720",NA,"6,401","13,383",Indiana,"6,199,571","208,039","41,582","145,686","20,771",Indiana,"6,199,571",352.3,5.5,27.7,NA,103.2,215.9,Indiana,"6,199,571","3,355.7",670.7,"2,349.9",335
2003,Iowa,"2,941,976","8,175",50,796,NA,"1,131","6,198",Iowa,"2,941,976","87,554","17,515","64,400","5,639",Iowa,"2,941,976",277.9,1.7,27.1,NA,38.4,210.7,Iowa,"2,941,976","2,976.0",595.3,"2,189.0",191.7
2003,Kansas,"2,724,786","10,831",125,"1,085",NA,"2,247","7,374",Kansas,"2,724,786","109,276","21,973","79,471","7,832",Kansas,"2,724,786",397.5,4.6,39.8,NA,82.5,270.6,Kansas,"2,724,786","4,010.4",806.4,"2,916.6",287.4
2003,Kentucky,"4,118,189","10,232",181,"1,124",NA,"3,224","5,703",Kentucky,"4,118,189","103,370","26,034","69,083","8,253",Kentucky,"4,118,189",248.5,4.4,27.3,NA,78.3,138.5,Kentucky,"4,118,189","2,510.1",632.2,"1,677.5",200.4
2003,Louisiana,"4,493,665","28,622",584,"1,601",NA,"7,008","19,429",Louisiana,"4,493,665","193,698","44,572","129,471","19,655",Louisiana,"4,493,665",636.9,13,35.6,NA,156,432.4,Louisiana,"4,493,665","4,310.5",991.9,"2,881.2",437.4
2003,Maine,"1,309,205","1,422",16,354,NA,289,763,Maine,"1,309,205","32,078","6,579","24,043","1,456",Maine,"1,309,205",108.6,1.2,27,NA,22.1,58.3,Maine,"1,309,205","2,450.2",502.5,"1,836.5",111.2
2003,Maryland,"5,512,310","38,778",525,"1,358",NA,"13,302","23,593",Maryland,"5,512,310","209,418","38,641","134,372","36,405",Maryland,"5,512,310",703.5,9.5,24.6,NA,241.3,428,Maryland,"5,512,310","3,799.1",701,"2,437.7",660.4
2003,Massachusetts,"6,420,357","30,377",140,"1,848",NA,"8,011","20,378",Massachusetts,"6,420,357","164,543","34,963","104,069","25,511",Massachusetts,"6,420,357",473.1,2.2,28.8,NA,124.8,317.4,Massachusetts,"6,420,357","2,562.8",544.6,"1,620.9",397.3
2003,Michigan,"10,082,364","51,550",612,"5,470",NA,"11,254","34,214",Michigan,"10,082,364","330,565","68,316","208,538","53,711",Michigan,"10,082,364",511.3,6.1,54.3,NA,111.6,339.3,Michigan,"10,082,364","3,278.6",677.6,"2,068.3",532.7
2003,Minnesota,"5,064,172","13,316",127,"2,092",NA,"3,906","7,191",Minnesota,"5,064,172","157,663","27,698","116,216","13,749",Minnesota,"5,064,172",262.9,2.5,41.3,NA,77.1,142,Minnesota,"5,064,172","3,113.3",546.9,"2,294.9",271.5
2003,Mississippi,"2,882,594","9,336",267,"1,079",NA,"3,016","4,974",Mississippi,"2,882,594","106,867","29,564","68,307","8,996",Mississippi,"2,882,594",323.9,9.3,37.4,NA,104.6,172.6,Mississippi,"2,882,594","3,707.3","1,025.6","2,369.6",312.1
2003,Missouri,"5,719,204","28,067",289,"1,400",NA,"6,686","19,692",Missouri,"5,719,204","233,564","41,997","161,616","29,951",Missouri,"5,719,204",490.8,5.1,24.5,NA,116.9,344.3,Missouri,"5,719,204","4,083.9",734.3,"2,825.8",523.7
2003,Montana,"918,157","3,351",30,246,NA,298,"2,777",Montana,"918,157","28,428","3,722","22,800","1,906",Montana,"918,157",365,3.3,26.8,NA,32.5,302.5,Montana,"918,157","3,096.2",405.4,"2,483.2",207.6
2003,Nebraska,"1,737,475","5,105",56,504,NA,"1,165","3,380",Nebraska,"1,737,475","65,189","10,133","48,924","6,132",Nebraska,"1,737,475",293.8,3.2,29,NA,67.1,194.5,Nebraska,"1,737,475","3,751.9",583.2,"2,815.8",352.9
2003,Nevada,"2,242,207","13,813",197,871,NA,"5,225","7,520",Nevada,"2,242,207","96,128","21,958","53,321","20,849",Nevada,"2,242,207",616,8.8,38.8,NA,233,335.4,Nevada,"2,242,207","4,287.2",979.3,"2,378.1",929.8
2003,New Hampshire,"1,288,705","1,937",17,438,NA,480,"1,002",New Hampshire,"1,288,705","26,456","4,589","19,934","1,933",New Hampshire,"1,288,705",150.3,1.3,34,NA,37.2,77.8,New Hampshire,"1,288,705","2,052.9",356.1,"1,546.8",150
2003,New Jersey,"8,642,412","31,488",406,"1,288",NA,"13,342","16,452",New Jersey,"8,642,412","220,350","43,457","142,287","34,606",New Jersey,"8,642,412",364.3,4.7,14.9,NA,154.4,190.4,New Jersey,"8,642,412","2,549.6",502.8,"1,646.4",400.4
2003,New Mexico,"1,878,562","12,535",116,940,NA,"1,937","9,542",New Mexico,"1,878,562","76,816","18,997","50,595","7,224",New Mexico,"1,878,562",667.3,6.2,50,NA,103.1,507.9,New Mexico,"1,878,562","4,089.1","1,011.3","2,693.3",384.5
2003,New York,"19,212,425","89,486",934,"3,775",NA,"35,790","48,987",New York,"19,212,425","432,079","75,453","311,422","45,204",New York,"19,212,425",465.8,4.9,19.6,NA,186.3,255,New York,"19,212,425","2,249.0",392.7,"1,620.9",235.3
2003,North Carolina,"8,421,190","38,243",506,"2,139",NA,"12,229","23,369",North Carolina,"8,421,190","359,660","100,687","232,081","26,892",North Carolina,"8,421,190",454.1,6,25.4,NA,145.2,277.5,North Carolina,"8,421,190","4,270.9","1,195.6","2,755.9",319.3
2003,North Dakota,"633,400",508,9,160,NA,53,286,North Dakota,"633,400","13,364","1,959","10,327","1,078",North Dakota,"633,400",80.2,1.4,25.3,NA,8.4,45.2,North Dakota,"633,400","2,109.9",309.3,"1,630.4",170.2
2003,Ohio,"11,437,680","38,185",526,"4,660",NA,"16,895","16,104",Ohio,"11,437,680","417,483","95,083","281,383","41,017",Ohio,"11,437,680",333.9,4.6,40.7,NA,147.7,140.8,Ohio,"11,437,680","3,650.1",831.3,"2,460.1",358.6
2003,Oklahoma,"3,506,469","17,758",206,"1,501",NA,"3,224","12,827",Oklahoma,"3,506,469","151,208","34,846","103,404","12,958",Oklahoma,"3,506,469",506.4,5.9,42.8,NA,91.9,365.8,Oklahoma,"3,506,469","4,312.3",993.8,"2,948.9",369.5
2003,Oregon,"3,564,330","10,506",68,"1,218",NA,"2,847","6,373",Oregon,"3,564,330","169,863","28,562","122,327","18,974",Oregon,"3,564,330",294.8,1.9,34.2,NA,79.9,178.8,Oregon,"3,564,330","4,765.6",801.3,"3,432.0",532.3
2003,Pennsylvania,"12,370,761","49,210",647,"3,556",NA,"17,980","27,027",Pennsylvania,"12,370,761","300,639","53,918","213,279","33,442",Pennsylvania,"12,370,761",397.8,5.2,28.7,NA,145.3,218.5,Pennsylvania,"12,370,761","2,430.2",435.9,"1,724.1",270.3
2003,Rhode Island,"1,076,084","3,074",25,505,NA,830,"1,714",Rhode Island,"1,076,084","32,231","5,524","22,320","4,387",Rhode Island,"1,076,084",285.7,2.3,46.9,NA,77.1,159.3,Rhode Island,"1,076,084","2,995.2",513.3,"2,074.2",407.7
2003,South Carolina,"4,148,744","33,455",303,"1,952",NA,"5,801","25,399",South Carolina,"4,148,744","187,592","43,993","127,809","15,790",South Carolina,"4,148,744",806.4,7.3,47.1,NA,139.8,612.2,South Carolina,"4,148,744","4,521.7","1,060.4","3,080.7",380.6
2003,South Dakota,"764,905","1,329",10,356,NA,104,859,South Dakota,"764,905","15,324","2,878","11,572",874,South Dakota,"764,905",173.7,1.3,46.5,NA,13.6,112.3,South Dakota,"764,905","2,003.4",376.3,"1,512.9",114.3
2003,Tennessee,"5,845,208","40,409",396,"2,129",NA,"9,413","28,471",Tennessee,"5,845,208","256,565","63,323","166,769","26,473",Tennessee,"5,845,208",691.3,6.8,36.4,NA,161,487.1,Tennessee,"5,845,208","4,389.3","1,083.3","2,853.1",452.9
2003,Texas,"22,103,374","122,246","1,422","8,025",NA,"37,017","75,782",Texas,"22,103,374","1,016,735","219,877","698,644","98,214",Texas,"22,103,374",553.1,6.4,36.3,NA,167.5,342.9,Texas,"22,103,374","4,599.9",994.8,"3,160.8",444.3
2003,Utah,"2,352,119","5,889",60,919,NA,"1,258","3,652",Utah,"2,352,119","100,084","16,961","75,321","7,802",Utah,"2,352,119",250.4,2.6,39.1,NA,53.5,155.3,Utah,"2,352,119","4,255.1",721.1,"3,202.3",331.7
2003,Vermont,"619,343",707,15,126,NA,62,504,Vermont,"619,343","13,803","3,017","10,132",654,Vermont,"619,343",114.2,2.4,20.3,NA,10,81.4,Vermont,"619,343","2,228.7",487.1,"1,635.9",105.6
2003,Virginia,"7,365,284","20,490",416,"1,807",NA,"6,713","11,554",Virginia,"7,365,284","200,449","29,105","153,367","17,977",Virginia,"7,365,284",278.2,5.6,24.5,NA,91.1,156.9,Virginia,"7,365,284","2,721.5",395.2,"2,082.3",244.1
2003,Washington,"6,131,298","21,272",182,"2,863",NA,"5,718","12,509",Washington,"6,131,298","291,542","58,271","192,653","40,618",Washington,"6,131,298",346.9,3,46.7,NA,93.3,204,Washington,"6,131,298","4,755.0",950.4,"3,142.1",662.5
2003,West Virginia,"1,811,440","4,627",73,311,NA,701,"3,542",West Virginia,"1,811,440","42,370","10,498","28,409","3,463",West Virginia,"1,811,440",255.4,4,17.2,NA,38.7,195.5,West Virginia,"1,811,440","2,339.0",579.5,"1,568.3",191.2
2003,Wisconsin,"5,474,290","12,104",183,"1,202",NA,"4,397","6,322",Wisconsin,"5,474,290","157,684","26,546","118,775","12,363",Wisconsin,"5,474,290",221.1,3.3,22,NA,80.3,115.5,Wisconsin,"5,474,290","2,880.4",484.9,"2,169.7",225.8
2003,Wyoming,"502,111","1,314",14,136,NA,84,"1,080",Wyoming,"502,111","16,648","2,611","13,239",798,Wyoming,"502,111",261.7,2.8,27.1,NA,16.7,215.1,Wyoming,"502,111","3,315.6",520,"2,636.7",158.9
2003,United States-Total,"290,788,976","1,383,676","16,528","93,883",NA,"414,235","859,030",United States-Total,"290,788,976","10,442,862","2,154,834","7,026,802","1,261,226",United States-Total,"290,788,976",475.8,5.7,32.3,NA,142.5,295.4,United States-Total,"290,788,976","3,591.2",741,"2,416.5",433.7
