year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
1999,Alabama,"4,369,862","21,421",345,"1,513",NA,"5,297","14,266",Alabama,"4,369,862","171,398","38,648","119,616","13,134",Alabama,"4,369,862",490.2,7.9,34.6,NA,121.2,326.5,Alabama,"4,369,862","3,922.3",884.4,"2,737.3",300.6
1999,Alaska,"619,500","3,908",52,517,NA,566,"2,773",Alaska,"619,500","23,099","3,787","16,654","2,658",Alaska,"619,500",630.8,8.4,83.5,NA,91.4,447.6,Alaska,"619,500","3,728.7",611.3,"2,688.3",429.1
1999,Arizona,"4,778,332","26,334",384,"1,383",NA,"7,288","17,279",Arizona,"4,778,332","255,401","49,423","167,731","38,247",Arizona,"4,778,332",551.1,8,28.9,NA,152.5,361.6,Arizona,"4,778,332","5,345.0","1,034.3","3,510.2",800.4
1999,Arkansas,"2,551,373","10,848",143,710,NA,"2,024","7,971",Arkansas,"2,551,373","92,283","21,692","63,927","6,664",Arkansas,"2,551,373",425.2,5.6,27.8,NA,79.3,312.4,Arkansas,"2,551,373","3,617.0",850.2,"2,505.6",261.2
1999,California,"33,145,121","207,879","2,005","9,363",NA,"60,039","136,472",California,"33,145,121","1,053,285","223,814","660,991","168,480",California,"33,145,121",627.2,6,28.2,NA,181.1,411.7,California,"33,145,121","3,177.8",675.3,"1,994.2",508.3
1999,Colorado,"4,056,133","13,811",185,"1,679",NA,"3,056","8,891",Colorado,"4,056,133","151,002","26,979","109,228","14,795",Colorado,"4,056,133",340.5,4.6,41.4,NA,75.3,219.2,Colorado,"4,056,133","3,722.8",665.1,"2,692.9",364.8
1999,Connecticut,"3,282,031","11,342",107,654,NA,"4,054","6,527",Connecticut,"3,282,031","99,894","19,298","69,299","11,297",Connecticut,"3,282,031",345.6,3.3,19.9,NA,123.5,198.9,Connecticut,"3,282,031","3,043.7",588,"2,111.5",344.2
1999,Delaware,"753,538","5,534",24,529,NA,"1,492","3,489",Delaware,"753,538","30,922","5,245","22,634","3,043",Delaware,"753,538",734.4,3.2,70.2,NA,198,463,Delaware,"753,538","4,103.6",696,"3,003.7",403.8
1999,District of Columbia,"519,000","8,448",241,248,NA,"3,344","4,615",District of Columbia,"519,000","33,420","5,067","21,701","6,652",District of Columbia,"519,000","1,627.7",46.4,47.8,NA,644.3,889.2,District of Columbia,"519,000","6,439.3",976.3,"4,181.3","1,281.7"
1999,Florida,"15,111,244","129,044",859,"6,990",NA,"31,969","89,226",Florida,"15,111,244","808,674","181,378","534,105","93,191",Florida,"15,111,244",854,5.7,46.3,NA,211.6,590.5,Florida,"15,111,244","5,351.5","1,200.3","3,534.5",616.7
1999,Georgia,"7,788,240","41,585",583,"2,319",NA,"12,962","25,721",Georgia,"7,788,240","359,383","71,429","247,834","40,120",Georgia,"7,788,240",533.9,7.5,29.8,NA,166.4,330.3,Georgia,"7,788,240","4,614.4",917.1,"3,182.2",515.1
1999,Hawaii,"1,185,497","2,785",44,354,NA,"1,044","1,343",Hawaii,"1,185,497","54,539","9,421","40,458","4,660",Hawaii,"1,185,497",234.9,3.7,29.9,NA,88.1,113.3,Hawaii,"1,185,497","4,600.5",794.7,"3,412.7",393.1
1999,Idaho,"1,251,700","3,066",25,417,NA,223,"2,401",Idaho,"1,251,700","36,363","7,641","26,824","1,898",Idaho,"1,251,700",244.9,2,33.3,NA,17.8,191.8,Idaho,"1,251,700","2,905.1",610.4,"2,143.0",151.6
1999,Illinois,"12,128,370","83,621",939,"4,297",NA,"26,365","52,020",Illinois,"12,128,370","463,939","86,317","320,954","56,668",Illinois,"12,128,370",689.5,7.7,35.4,NA,217.4,428.9,Illinois,"12,128,370","3,825.2",711.7,"2,646.3",467.2
1999,Indiana,"5,942,901","22,261",391,"1,607",NA,"6,496","13,767",Indiana,"5,942,901","201,547","42,463","138,794","20,290",Indiana,"5,942,901",374.6,6.6,27,NA,109.3,231.7,Indiana,"5,942,901","3,391.4",714.5,"2,335.5",341.4
1999,Iowa,"2,869,413","8,034",43,780,NA,"1,051","6,160",Iowa,"2,869,413","84,463","17,012","62,316","5,135",Iowa,"2,869,413",280,1.5,27.2,NA,36.6,214.7,Iowa,"2,869,413","2,943.6",592.9,"2,171.7",179
1999,Kansas,"2,654,052","10,159",160,"1,065",NA,"2,047","6,887",Kansas,"2,654,052","107,644","21,874","79,722","6,048",Kansas,"2,654,052",382.8,6,40.1,NA,77.1,259.5,Kansas,"2,654,052","4,055.8",824.2,"3,003.8",227.9
1999,Kentucky,"3,960,825","12,212",203,"1,148",NA,"3,104","7,757",Kentucky,"3,960,825","104,768","25,180","70,719","8,869",Kentucky,"3,960,825",308.3,5.1,29,NA,78.4,195.8,Kentucky,"3,960,825","2,645.1",635.7,"1,785.5",223.9
1999,Louisiana,"4,372,035","32,033",468,"1,448",NA,"7,591","22,526",Louisiana,"4,372,035","219,219","47,775","149,749","21,695",Louisiana,"4,372,035",732.7,10.7,33.1,NA,173.6,515.2,Louisiana,"4,372,035","5,014.1","1,092.7","3,425.2",496.2
