year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2000,Alabama,"4,447,100","21,620",329,"1,482",NA,"5,702","14,107",Alabama,"4,447,100","180,539","40,331","127,399","12,809",Alabama,"4,447,100",486.2,7.4,33.3,NA,128.2,317.2,Alabama,"4,447,100","4,059.7",906.9,"2,864.8",288
2000,Alaska,"626,932","3,554",27,497,NA,490,"2,540",Alaska,"626,932","23,087","3,899","16,838","2,350",Alaska,"626,932",566.9,4.3,79.3,NA,78.2,405.1,Alaska,"626,932","3,682.5",621.9,"2,685.8",374.8
2000,Arizona,"5,130,632","27,281",359,"1,577",NA,"7,504","17,841",Arizona,"5,130,632","271,811","51,902","176,705","43,204",Arizona,"5,130,632",531.7,7,30.7,NA,146.3,347.7,Arizona,"5,130,632","5,297.8","1,011.6","3,444.1",842.1
2000,Arkansas,"2,673,400","11,904",168,848,NA,"2,001","8,887",Arkansas,"2,673,400","98,115","21,443","69,740","6,932",Arkansas,"2,673,400",445.3,6.3,31.7,NA,74.8,332.4,Arkansas,"2,673,400","3,670.0",802.1,"2,608.7",259.3
2000,California,"33,871,648","210,531","2,079","9,785",NA,"60,249","138,418",California,"33,871,648","1,056,183","222,293","651,855","182,035",California,"33,871,648",621.6,6.1,28.9,NA,177.9,408.7,California,"33,871,648","3,118.2",656.3,"1,924.5",537.4
2000,Colorado,"4,301,261","14,367",134,"1,774",NA,"3,034","9,425",Colorado,"4,301,261","156,937","27,133","112,843","16,961",Colorado,"4,301,261",334,3.1,41.2,NA,70.5,219.1,Colorado,"4,301,261","3,648.6",630.8,"2,623.5",394.3
2000,Connecticut,"3,405,565","11,058",98,678,NA,"3,832","6,450",Connecticut,"3,405,565","99,033","17,436","68,498","13,099",Connecticut,"3,405,565",324.7,2.9,19.9,NA,112.5,189.4,Connecticut,"3,405,565","2,908.0",512,"2,011.4",384.6
2000,Delaware,"783,600","5,363",25,424,NA,"1,394","3,520",Delaware,"783,600","29,727","5,216","21,360","3,151",Delaware,"783,600",684.4,3.2,54.1,NA,177.9,449.2,Delaware,"783,600","3,793.6",665.6,"2,725.9",402.1
2000,District of Columbia,"572,059","8,626",239,251,NA,"3,554","4,582",District of Columbia,"572,059","33,000","4,745","21,655","6,600",District of Columbia,"572,059","1,507.9",41.8,43.9,NA,621.3,801,District of Columbia,"572,059","5,768.6",829.5,"3,785.4","1,153.7"
2000,Florida,"15,982,378","129,777",903,"7,057",NA,"31,809","90,008",Florida,"15,982,378","780,377","172,898","518,298","89,181",Florida,"15,982,378",812,5.6,44.2,NA,199,563.2,Florida,"15,982,378","4,882.7","1,081.8","3,242.9",558
2000,Georgia,"8,186,453","41,319",651,"1,968",NA,"13,250","25,450",Georgia,"8,186,453","347,630","68,488","240,440","38,702",Georgia,"8,186,453",504.7,8,24,NA,161.9,310.9,Georgia,"8,186,453","4,246.4",836.6,"2,937.0",472.8
2000,Hawaii,"1,211,537","2,954",35,346,NA,"1,123","1,450",Hawaii,"1,211,537","60,033","10,665","43,254","6,114",Hawaii,"1,211,537",243.8,2.9,28.6,NA,92.7,119.7,Hawaii,"1,211,537","4,955.1",880.3,"3,570.2",504.6
2000,Idaho,"1,293,953","3,267",16,384,NA,223,"2,644",Idaho,"1,293,953","37,961","7,330","28,545","2,086",Idaho,"1,293,953",252.5,1.2,29.7,NA,17.2,204.3,Idaho,"1,293,953","2,933.7",566.5,"2,206.0",161.2
2000,Illinois,"12,419,293","81,196",898,"3,926",NA,"25,641","50,731",Illinois,"12,419,293","445,278","81,850","313,161","50,267",Illinois,"12,419,293",653.8,7.2,31.6,NA,206.5,408.5,Illinois,"12,419,293","3,585.4",659.1,"2,521.6",404.7
2000,Indiana,"6,080,485","21,230",352,"1,759",NA,"6,282","12,837",Indiana,"6,080,485","206,905","41,108","144,707","21,090",Indiana,"6,080,485",349.1,5.8,28.9,NA,103.3,211.1,Indiana,"6,080,485","3,402.8",676.1,"2,379.9",346.8
2000,Iowa,"2,926,324","7,796",46,676,NA,"1,071","6,003",Iowa,"2,926,324","86,834","16,342","65,118","5,374",Iowa,"2,926,324",266.4,1.6,23.1,NA,36.6,205.1,Iowa,"2,926,324","2,967.3",558.4,"2,225.2",183.6
2000,Kansas,"2,688,418","10,470",169,"1,022",NA,"2,048","7,231",Kansas,"2,688,418","108,057","21,484","80,077","6,496",Kansas,"2,688,418",389.4,6.3,38,NA,76.2,269,Kansas,"2,688,418","4,019.4",799.1,"2,978.6",241.6
2000,Kentucky,"4,041,769","11,903",193,"1,091",NA,"3,256","7,363",Kentucky,"4,041,769","107,723","25,308","73,141","9,274",Kentucky,"4,041,769",294.5,4.8,27,NA,80.6,182.2,Kentucky,"4,041,769","2,665.2",626.2,"1,809.6",229.5
2000,Louisiana,"4,468,976","30,440",560,"1,497",NA,"7,532","20,851",Louisiana,"4,468,976","211,904","46,289","144,345","21,270",Louisiana,"4,468,976",681.1,12.5,33.5,NA,168.5,466.6,Louisiana,"4,468,976","4,741.7","1,035.8","3,229.9",475.9
2000,Maine,"1,274,923","1,397",15,320,NA,247,815,Maine,"1,274,923","32,003","6,775","23,906","1,322",Maine,"1,274,923",109.6,1.2,25.1,NA,19.4,63.9,Maine,"1,274,923","2,510.2",531.4,"1,875.1",103.7
